일시,랭킹 카테고리,순위,브랜드명,상품명
2024-02-29 11:00,마스크팩,2,메디힐,[6년연속1위] 메디힐 에센셜 마스크팩 1매 (5종 중 택1)
2024-02-29 11:00,마스크팩,3,토리든,토리든 다이브인 저분자 히알루론산 마스크 1매
2024-02-29 11:00,마스크팩,4,바이오던스,[단독] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매
2024-02-29 11:00,마스크팩,5,브링그린,브링그린 프레시마스크 1매 5종
2024-02-29 11:00,마스크팩,6,넘버즈인,[모공각질] 넘버즈인 4번 모공제로 깐달걀 토너패드 70매 리필 기획 (70매+70매 리필)
2024-02-29 11:00,마스크팩,7,프리메이,[NEW]프리메이 비건 앰플 마스크 1매 4종 택 1 [올리브시카/핑크콜라겐/옐로우비타민/그린하트리프]
2024-02-29 11:00,마스크팩,8,메디힐,메디힐 마데카소사이드 에센셜 마스크 1매
2024-02-29 11:00,마스크팩,9,스킨푸드,[NEW/리뷰이벤트] 스킨푸드 감자 마데카소사이드 수딩 패드 60매 (+10매 증정기획)
2024-02-29 11:00,마스크팩,10,토리든,[2023어워즈/한정수량] 토리든 다이브인 저분자 히알루론산 마스크 10매 어워즈기획 (+3매+밸런스풀마스크1매)
2024-02-29 11:00,마스크팩,11,넘버즈인,[탄력미백] 넘버즈인 2번 워터콜라겐 65% 볼륨팩 1매
2024-02-29 11:00,마스크팩,12,메디힐,"[2023어워즈] 메디힐 마데카소사이드 흔적패드 100매 어워즈 기획 (+100매, 마스크2매)"
2024-02-29 11:00,마스크팩,13,아비브,[NEW] 아비브 껌딱지 시트 마스크 히알루론 스티커 1매
2024-02-29 11:00,마스크팩,14,바이오던스,[재유PICK] 바이오던스 하이드로 세라놀 리얼 딥 마스크 4매
2024-02-29 11:00,마스크팩,15,아비브,아비브 약산성 pH 시트 마스크 어성초 핏 5매 (+1매 증정 기획)
